	Time	PCM_energy
0	4.91813319178474	2.991661143804681
1	2.1954267149818922	30.883898142479914
2	6.81827101519969	-5.240085085247207
3	2.969577124063087	1.18088220782212
4	0.6452064271888414	-3.4081272330427708
5	0.5058539336245607	-5.243083675122138
6	9.218686633893517	2.354273087494125
7	6.397802372800389	-11.927839798133217
8	-3.7942953352481013	7.618078027851503
9	4.56103121299905	2.7793577027120797
10	1.1954056221581872	-9.169521379138168
11	0.6843710395194587	65.41153655802115
12	-7.469156385461803	-6.375051567656764
13	-2.8975602002702194	5.301301838679376
14	15.346094730298198	24.92874757050342
15	-16.108906241514333	-17.157577968265546
16	-14.935527589545014	-3.183593504715735
17	-15.188194959229051	-11.502801719287973
18	-9.04522912120611	1.5136486016463393
19	29.779068664880043	8.975523710369437
20	-10.622103460810585	-20.93315501274319
21	-14.883600537103856	-13.448333612460218
22	-10.543090652657265	0.6377510347510545
23	-1.689886542688968	-3.324350387719798
24	15.846838820294359	39.49588372802115
25	4.075474815427509	-1.2552848622516612
26	18.528763152152305	6.200291537733682
27	15.038212946791116	1.8098784176216167
28	3.248412002214803	-1.0939350495543199
29	14.35130722361726	2.4259237758862
30	16.787831546022698	9.18949918808156
31	5.055196531533152	1.281735002110639
32	19.364754228716475	2.4425806762586473
33	-9.462927586945648	-4.441555691496869
34	-1.228148261506362	-7.843059914689333
35	15.142224223761241	-2.222692751313611
36	17.554435846679855	-0.7942093787088496
37	-5.2136098903021795	-6.460592736003329
38	15.78347928006432	1.5659645232815982
39	0.6879022298778645	-9.933048924202746
40	3.824597369655475	-0.5377069075953127
41	0.7902912032443575	5.574418631148381
42	5.576233404471167	3.6674361673053304
43	18.074215194204836	6.620144358920599
44	-0.49608996116935955	5.481882861349176
45	6.509531610389821	7.697812978988616
46	-3.3645111219339716	2.311369683849723
47	6.015761704103122	2.14157670845672
48	-10.167515837590628	-3.077496863733454
49	4.335600264779319	-0.0027881714613980737
50	1.2144539312364369	1.6826936461888777
51	8.43840769407771	20.339030603656283
52	5.177466085372697	3.6851172613093173
53	-11.526919950467601	-10.809737249538456
